title,audienceRating,contentRating,durationHuman,rating,studio,year
Ghostbusters,,PG,1 hr 45 mins,7.5,Columbia Pictures,1984
Ghostbusters,,PG-13,2 hrs 14 mins,5.4,Columbia Pictures,2016
Ghostbusters II,,PG,1 hr 48 mins,6.5,Columbia Pictures,1989
Ghostbusters: Afterlife,,,2 hrs 4 mins,7.7,Columbia Pictures,2021
The Girl Next Door,6.1,R,1 hr 31 mins,6.7,Modernciné,2008
Gladiator,8.7,R,2 hrs 51 mins,7.8,Universal Pictures,2000
Glass,,PG-13,2 hrs 9 mins,6.7,Universal Pictures,2019
The Godfather,9.8,R,2 hrs 55 mins,9.7,Paramount,1972
The Godfather Part II,9.7,R,3 hrs 21 mins,9.6,Paramount,1974
The Godfather: Part III (2020+ Coda Recut),7.6,R,2 hrs 38 mins,8.6,Paramount,1990
Gods of Egypt,3.7,PG-13,2 hrs 7 mins,1.5,Thunder Road,2016
Godzilla,2.8,PG-13,2 hrs 19 mins,1.6,Toho,1998
Godzilla,6.6,PG-13,2 hrs 3 mins,7.6,RatPac Entertainment,2014
Godzilla vs. Kong,9.1,PG-13,1 hr 53 mins,7.5,Legendary Pictures,2021
Godzilla: King of the Monsters,8.3,PG-13,2 hrs 12 mins,4.2,Legendary Pictures,2019
GoldenEye,8.3,PG-13,2 hrs 10 mins,8,United Artists,1995
Goldfinger,8.9,PG,1 hr 50 mins,9.9,United Artists,1964
Gone Girl,,R,2 hrs 29 mins,7.9,20th Century Fox,2014
A Good Day to Die Hard,4,R,1 hr 41 mins,1.5,Mid Atlantic Films,2013
Good Will Hunting,9.4,R,2 hrs 7 mins,9.6,Miramax,1997
Goodfellas,9.7,R,2 hrs 25 mins,9.6,Winkler Films,1990
Gravity,7.9,PG-13,1 hr 31 mins,9.6,Esperanto Filmoj,2013
The Green Hornet,,PG-13,1 hr 59 mins,5.5,Columbia Pictures,2011
Green Lantern,4.5,PG-13,2 hrs 4 mins,2.6,Warner Bros. Pictures,2011
Green Room,7.5,R,1 hr 35 mins,9,filmscience,2016
Grindhouse,8.7,R,3 hrs 11 mins,8.4,Yer Dead Productions,2007
Grizzly Man,8.5,R,1 hr 44 mins,9.2,Discovery Docs,2005
Guardians of the Galaxy,,PG-13,2 hrs,7.9,Marvel Studios,2014
Guardians of the Galaxy Vol. 2,,PG-13,2 hrs 16 mins,7.6,Marvel Studios,2017
Gummo,7.3,R,1 hr 26 mins,3.8,Independent Pictures (II),1997
Hacksaw Ridge,9.1,R,2 hrs 19 mins,8.4,Permut Presentations,2016
Halloween,8.9,R,1 hr 31 mins,9.6,Compass International Pictures,1978
Halloween,7.1,R,1 hr 46 mins,7.9,Miramax,2018
Halloween (Rob Zombie),5.9,R,2 hrs 2 mins,2.8,Dimension Films,2007
Halloween 4: The Return of Michael Myers,5.2,R,1 hr 28 mins,3.1,Trancas International Films,1988
Halloween 5: The Revenge of Michael Myers,3.6,R,1 hr 37 mins,1.2,Trancas International Films,1989
Halloween 6: The Curse of Michael Myers (Producer's Cut),3.7,R,1 hr 36 mins,0.9,Miramax,1995
Halloween H20: 20 Years Later,4.9,R,1 hr 26 mins,5.2,Miramax,1998
Halloween II,6.3,R,1 hr 33 mins,2.9,Universal Pictures,1981
Halloween II (Rob Zombie),4.4,R,1 hr 59 mins,2.2,Dimension Films,2009
Halloween III: Season of the Witch,2.7,R,1 hr 38 mins,4.3,Universal Pictures,1982
Halloween Kills,6.6,R,1 hr 49 mins,3.9,Miramax,2021
Halloween: Resurrection,2.5,R,1 hr 30 mins,1.2,Miramax,2002
Hancock,5.9,PG-13,1 hr 42 mins,4.1,Columbia Pictures,2008
The Hangover,,R,1 hr 48 mins,7.3,Warner Bros. Pictures,2009
The Hangover Part II,,R,1 hr 42 mins,6.4,Warner Bros. Pictures,2011
The Hangover Part III,,R,1 hr 40 mins,6.2,Legendary Pictures,2013
Hannibal,6.2,R,2 hrs 12 mins,4,Dino De Laurentiis Company,2001
Hannibal Rising,5.5,R,2 hrs 11 mins,1.6,Young Hannibal Productions,2007
Happiness,8.9,NC-17,2 hrs 20 mins,8.3,Good Machine,1998
Happy Death Day,6.7,PG-13,1 hr 36 mins,7.1,Blumhouse Productions,2017
Happy Death Day 2U,5.7,PG-13,1 hr 40 mins,7.1,Blumhouse Productions,2019
Hardcore Henry,5.4,R,1 hr 37 mins,5.1,Bazelevs Production,2016
Harold & Kumar Escape from Guantanamo Bay,6,R,1 hr 48 mins,5.2,New Line Cinema,2008
Harold & Kumar Go to White Castle,8,R,1 hr 28 mins,7.4,New Line Cinema,2004
Harry Potter 20th Anniversary: Return to Hogwarts,,PG-13,1 hr 43 mins,7.9,Pulse Films,2022
Harry Potter and the Chamber of Secrets (Extended Edition),,PG,2 hrs 54 mins,7.7,Warner Bros. Pictures,2002
Harry Potter and the Deathly Hallows: Part 1,,PG-13,2 hrs 26 mins,7.8,Warner Bros. Pictures,2010
Harry Potter and the Deathly Hallows: Part 2,,,2 hrs 10 mins,8.1,Warner Bros. Pictures,2011
Harry Potter and the Deathly Weapons [MEME],,,2 hrs 32 mins,,#NAME?,2020
Harry Potter and the Goblet of Fire,,PG-13,2 hrs 37 mins,7.8,Warner Bros. Pictures,2005
Harry Potter and the Half-Blood Prince,,PG,2 hrs 34 mins,7.7,Warner Bros. Pictures,2009
Harry Potter and the Order of the Phoenix,,PG-13,2 hrs 18 mins,7.7,Warner Bros. Pictures,2007
Harry Potter and the Prisoner of Azkaban,,PG,2 hrs 22 mins,8,Warner Bros. Pictures,2004
Harry Potter and the Sorcerer's Stone (Extended Edition),,PG,2 hrs 39 mins,7.9,Warner Bros. Pictures,2001
The Hateful Eight,7.6,R,2 hrs 48 mins,7.4,Double Feature Films,2015
The Heat,7.1,R,2 hrs,6.6,Ingenious Media,2013
Heavy Metal,6.7,R,1 hr 30 mins,6.5,Canadian Film Development Corporation (CFDC),1981
Hellboy,,PG-13,2 hrs 12 mins,6.7,Columbia Pictures,2004
Hellboy,,R,2 hrs 1 min,5.5,Summit Entertainment,2019
Hellboy II: The Golden Army,,PG-13,1 hr 60 mins,6.7,Universal Pictures,2008
Her,8.2,R,2 hrs 6 mins,9.4,Annapurna Pictures,2014
Here Comes the Boom,6.5,PG,1 hr 45 mins,4.2,Columbia Pictures,2012
Hidden Figures,9.3,PG,2 hrs 7 mins,9.3,Fox 2000 Pictures,2017
The Hitchhiker's Guide to the Galaxy,6.5,PG,1 hr 49 mins,6,Spyglass Entertainment,2005
Hitman,5.7,R,1 hr 34 mins,1.6,Anka Film,2007
Hitman: Agent 47,4,R,1 hr 36 mins,0.8,Québec Production Services Tax Credit,2015
The Hobbit: An Unexpected Journey (Extended Edition),,PG-13,3 hrs 3 mins,7.3,WingNut Films,2012
The Hobbit: The Battle of the Five Armies (Extended Edition),,PG-13,2 hrs 44 mins,7.3,WingNut Films,2014
The Hobbit: The Desolation of Smaug (Extended Edition),,PG-13,3 hrs 7 mins,7.6,WingNut Films,2013
Horns,4.9,R,1 hr 60 mins,4.3,Mandalay Pictures,2014
Hot Fuzz,8.9,R,2 hrs,9.1,Universal Pictures,2007
Howard the Duck,3.8,PG,1 hr 51 mins,1.4,Lucasfilm Ltd.,1986
Hulk,2.9,PG-13,2 hrs 18 mins,6.2,Marvel Enterprises,2003
The Human Centipede (First Sequence),2.5,R,1 hr 32 mins,4.9,Six Entertainment,2010
Human Centipede 2: Tom Six Discusses the Story Concept,2.3,R,1 hr 27 mins,2.9,Six Entertainment,2011
The Human Centipede III (Final Sequence),1.1,R,1 hr 43 mins,1.9,Six Entertainment,2015
The Hunger Games,,PG-13,2 hrs 23 mins,7.2,Lionsgate,2012
The Hunger Games: Catching Fire,,PG-13,2 hrs 26 mins,7.4,Lionsgate,2013
The Hunger Games: Mockingjay - Part 1,,PG-13,2 hrs 3 mins,6.8,Lionsgate,2014
The Hunger Games: Mockingjay - Part 2,,PG-13,2 hrs 17 mins,6.9,Studio Babelsberg,2015
The Hunt for Red October,8.8,PG-13,2 hrs 15 mins,8.8,Paramount,1990
The Hurt Locker,8.4,R,2 hrs 11 mins,9.7,Film Capital Europe Funds (FCEF ),2008
I Am Legend,6.8,PG-13,1 hr 44 mins,6.8,Village Roadshow Pictures,2007
I Am Number Four,5.7,PG-13,1 hr 50 mins,3.3,DreamWorks Pictures,2011
I Saw the Devil [Dual Audio],8.7,Not Rated,2 hrs 22 mins,8.1,Softbank Ventures,2010
I Spit on Your Grave,4,R,1 hr 41 mins,5.3,Barquel Creations,1978
"I, Robot",7,PG-13,1 hr 55 mins,5.6,Davis Entertainment,2004
Idiocracy,6,R,1 hr 24 mins,7.3,20th Century Fox,2007
The Imitation Game,9.1,PG-13,1 hr 54 mins,8.9,The Weinstein Company,2014
Inception,9.1,PG-13,2 hrs 28 mins,8.7,Legendary Pictures,2010
The Incredible Hulk,,PG-13,1 hr 52 mins,6.2,Marvel Studios,2008
Independence Day,7.5,PG-13,2 hrs 34 mins,6.7,20th Century Fox,1996
Independence Day: Resurgence,3,PG-13,1 hr 60 mins,2.9,20th Century Fox,2016
Indiana Jones and the Kingdom of the Crystal Skull,,PG-13,2 hrs 3 mins,6,Lucasfilm,2008
Indiana Jones and the Last Crusade,,PG-13,2 hrs 7 mins,7.8,Lucasfilm,1989
Indiana Jones and the Raiders of the Lost Ark,,,1 hr 55 mins,7.9,Lucasfilm,1981
Indiana Jones and the Temple of Doom,,PG,1 hr 58 mins,7.3,Lucasfilm,1984
Inferno,3.6,PG-13,2 hrs 2 mins,2.3,Columbia Pictures,2016
The Infiltrator,7.1,R,2 hrs 7 mins,7.1,Good Films Collective,2016
Inglourious Basterds,8.8,R,2 hrs 33 mins,8.9,The Weinstein Company,2009
Inside,7.5,R,1 hr 19 mins,8.5,La Fabrique de Films,2007
Insidious,,PG-13,1 hr 43 mins,6.9,Alliance Films,2011
Insidious: Chapter 2,,PG-13,1 hr 46 mins,6.7,Sony Pictures,2013
Insidious: Chapter 3,,PG-13,1 hr 37 mins,6.3,Sony Pictures,2015
Insidious: The Last Key,,PG-13,1 hr 43 mins,6.2,Universal Pictures,2018
Insurgent,,PG-13,1 hr 59 mins,6.4,Summit Entertainment,2015
The Internship,5.1,PG-13,2 hrs 5 mins,3.5,TSG Entertainment,2013
Interstellar,,PG-13,2 hrs 49 mins,8.4,Legendary Pictures,2014
The Interview,4.8,R,1 hr 52 mins,5.1,Point Grey Pictures,2014
Invincible,7.3,PG,1 hr 44 mins,7.2,Walt Disney Pictures,2006
The Invisible Man,8.8,R,2 hrs 4 mins,9.2,Universal Pictures,2020
Iron Man,,PG-13,2 hrs 6 mins,7.6,Marvel Studios,2008
Iron Man 2,,PG-13,2 hrs 5 mins,6.8,Marvel Studios,2010
Iron Man 3,,PG-13,2 hrs 11 mins,6.9,Marvel Studios,2013
It,,R,2 hrs 15 mins,7.2,New Line Cinema,2017
It Chapter Two,,R,2 hrs 49 mins,6.9,New Line Cinema,2019
It Follows,6.6,R,1 hr 40 mins,9.6,Two Flints,2015
Jack Reacher,6.7,PG-13,2 hrs 10 mins,6.3,Skydance Media,2012
Jack Reacher: Never Go Back,4.2,PG-13,1 hr 58 mins,3.8,Skydance Media,2016
Jack Ryan: Shadow Recruit,5.3,PG-13,1 hr 46 mins,5.4,Paramount,2014
Jackass Forever,,R,1 hr 36 mins,6.9,Paramount,2022
Jackie Brown,8.5,R,2 hrs 34 mins,8.7,Miramax,1997
Jarhead,6.8,R,2 hrs 3 mins,6.1,Red Wagon Entertainment,2005
Jason Bourne,,PG-13,2 hrs 3 mins,6.3,The Kennedy/Marshall Company,2016
Jason Goes to Hell: The Final Friday,2.4,R,1 hr 31 mins,1.6,Sean S. Cunningham Films,1993
Jason X,2.5,R,1 hr 32 mins,1.9,Sean S. Cunningham Films,2001
Jaws,9,PG-13,2 hrs 4 mins,9.8,Universal Pictures,1975
Jaws 2,3.8,PG,1 hr 56 mins,6.1,Universal Pictures,1978
Jaws 3,1.7,PG,1 hr 38 mins,1.1,Universal Pictures,1983
Jaws: The Revenge,1.5,PG-13,1 hr 30 mins,,Universal Pictures,1987
Jeepers Creepers,,R,1 hr 31 mins,6.4,United Artists,2001
Jeepers Creepers 2,,R,1 hr 44 mins,6.1,United Artists,2003
Jeepers Creepers 3,,,1 hr 41 mins,4.9,Myriad Pictures,2017
Jet Li's Fearless,8.6,PG-13,2 hrs 21 mins,7.3,Beijing Film Studio,2006
Jigsaw,8.9,R,1 hr 32 mins,3.1,Twisted Pictures,2017
John Wick,,,1 hr 41 mins,7.4,Summit Entertainment,2014
John Wick: Chapter 2,,R,2 hrs 2 mins,7.3,Lionsgate,2017
John Wick: Chapter 3 - Parabellum,,R,2 hrs 11 mins,7.4,Summit Entertainment,2019
Joker,,R,2 hrs 2 mins,8.2,Village Roadshow Pictures,2019
Joy Ride,6.6,R,1 hr 37 mins,7.4,Regency Enterprises,2001
Judge Dredd,,R,1 hr 36 mins,5.7,Hollywood Pictures,1995
Jumanji,,PG,1 hr 44 mins,7.2,TriStar Pictures,1995
Jumanji: The Next Level,,PG-13,2 hrs 3 mins,7,Columbia Pictures,2019
Jumanji: Welcome to the Jungle,,PG-13,1 hr 59 mins,6.8,Columbia Pictures,2017
Jumper,,PG-13,1 hr 28 mins,6.1,Dune Entertainment,2008
The Jungle Book,8.6,PG,1 hr 46 mins,9.4,Walt Disney Pictures,2016
Juno,8.8,PG-13,1 hr 36 mins,9.4,Fox Searchlight Pictures,2007
Jurassic Park,,PG-13,2 hrs 7 mins,7.9,Universal Pictures,1993
Jurassic Park III,3.6,PG-13,1 hr 32 mins,4.9,Universal Pictures,2001
Jurassic World,7.8,PG-13,2 hrs 4 mins,7.1,Universal Pictures,2015
Jurassic World Dominion,7.7,PG-13,2 hrs 28 mins,3,Universal Pictures,2022
Jurassic World: Fallen Kingdom,,PG-13,2 hrs 8 mins,6.6,Universal Pictures,2018
Kick-Ass,8.1,R,1 hr 58 mins,7.6,Marv Films,2010
Kick-Ass 2,5.7,R,1 hr 43 mins,3.2,Marv Films,2013
Kids,7.7,Not Rated,1 hr 32 mins,4.7,Miramax,1995
Kill Bill: Vol. 1,8.1,R,1 hr 51 mins,8.5,Miramax,2003
Kill Bill: Vol. 2,8.9,R,2 hrs 17 mins,8.4,Super Cool ManChu,2004
King Kong,5,PG-13,3 hrs 20 mins,8.4,Universal Pictures,2005
The King's Man,8,R,2 hrs 11 mins,4.1,Marv Films,2021
Kingsman: The Golden Circle,6.4,R,2 hrs 21 mins,5,20th Century Fox,2017
Kingsman: The Secret Service,8.4,R,2 hrs 9 mins,7.5,20th Century Fox,2015
A Knight's Tale,7.9,PG-13,2 hrs 12 mins,5.9,Columbia Pictures,2001
Kong: Skull Island,6.9,PG-13,1 hr 58 mins,7.5,Legendary Pictures,2017
Kung Pow: Enter the Fist,6.9,PG-13,1 hr 21 mins,1.3,O Entertainment,2002
La La Land,8.1,PG-13,2 hrs 8 mins,9.1,Summit Entertainment,2016
Lady and the Tramp,5,PG,1 hr 45 mins,6.5,Walt Disney Pictures,2019
Lake Mungo,6.3,R,1 hr 27 mins,9.6,Mungo Productions,2008
Land of the Dead,5.1,R,1 hr 37 mins,7.4,Romero-Grunwald Productions,2005
The Last Airbender,,PG,1 hr 43 mins,4.7,Paramount,2010
The Last Samurai,8.3,R,2 hrs 34 mins,6.6,Warner Bros. Pictures,2003
Legally Blonde,7.2,PG-13,1 hr 36 mins,7.1,Metro-Goldwyn-Mayer,2001
The Legend of Zorro,4.8,PG,2 hrs 10 mins,2.7,Columbia Pictures,2005
Let the Right One In [Dual Audio],9,R,1 hr 55 mins,9.8,EFTI,2008
Lethal Weapon,8.6,R,1 hr 50 mins,8,Silver Pictures,1987
Lethal Weapon 2,7.7,R,1 hr 54 mins,8.2,Silver Pictures,1989
Lethal Weapon 3,6.1,R,1 hr 58 mins,5.8,Silver Pictures,1992
Lethal Weapon 4,6.4,R,2 hrs 7 mins,5.2,Silver Pictures,1998
Liar Liar,7.5,PG-13,1 hr 27 mins,8.3,Imagine Entertainment,1997
Licence to Kill,6.1,PG-13,2 hrs 13 mins,7.8,United Artists,1989
Life,5.4,R,1 hr 44 mins,6.7,Columbia Pictures,2017
Life Is Beautiful [Dual Audio],9.6,PG-13,1 hr 56 mins,8.1,Miramax,1997
Life of Pi,8.4,PG,2 hrs 7 mins,8.6,Fox 2000 Pictures,2012
Limitless,7.4,PG-13,1 hr 46 mins,6.9,Relativity Media,2011
The Lion King,8.8,PG,1 hr 58 mins,5.2,Walt Disney Pictures,2019
Little Fockers,3.4,PG-13,1 hr 38 mins,0.9,Paramount,2010
Little Miss Sunshine,9.1,R,1 hr 43 mins,9.1,Fox Searchlight Pictures,2006
Live and Let Die,6.4,PG,2 hrs 2 mins,6.5,United Artists,1973
Live Free or Die Hard,8.6,PG-13,2 hrs 9 mins,8.2,Dune Entertainment,2007
The Living Daylights,6.6,PG,2 hrs 11 mins,7.4,United Artists,1987
Logan,,R,2 hrs 17 mins,7.8,20th Century Fox,2017
London Has Fallen,5,R,1 hr 39 mins,2.7,Gramercy Pictures,2016
The Longest Yard,,PG-13,1 hr 54 mins,6.6,Paramount,2005
Look at Me: XXXTentacion,8.8,R,1 hr 53 mins,9.2,Fader Films,2022
Looper,8.2,R,1 hr 59 mins,9.3,TriStar Pictures,2012
The Lord of the Rings: The Fellowship of the Ring (Extended Edition),,PG-13,3 hrs 48 mins,8.4,WingNut Films,2001
The Lord of the Rings: The Return of the King (Extended Edition),,PG-13,4 hrs 23 mins,8.5,WingNut Films,2003
The Lord of the Rings: The Two Towers (Extended Edition),,PG-13,3 hrs 56 mins,8.4,WingNut Films,2002
The Lost World: Jurassic Park II,5.1,PG-13,2 hrs 9 mins,5.3,Universal Pictures,1997
"Love, Simon",8.8,PG-13,1 hr 50 mins,9.2,Temple Hill Entertainment,2018
Ma,6.4,R,1 hr 39 mins,5.6,Universal Pictures,2019
Macbeth,7.3,R,2 hrs 20 mins,8.4,Playboy Enterprises,1971
Mad Max: Fury Road,,R,2 hrs,7.6,Village Roadshow Pictures,2015
Maleficent,7,PG,1 hr 37 mins,5.4,Walt Disney Pictures,2014
Maleficent: Mistress of Evil,9.5,PG,1 hr 59 mins,3.9,Walt Disney Pictures,2019
Man Bites Dog,9,NC-17,1 hr 36 mins,7.4,Les Artistes Anonymes,1992
The Man from Nowhere,7.7,R,1 hr 59 mins,,Cinema Service,2010
Man of Steel,,PG-13,2 hrs 23 mins,6.6,Warner Bros. Pictures,2013
Man on Wire,8.7,PG-13,1 hr 34 mins,10,UK Film Council,2008
The Man with the Golden Gun,5.5,PG,2 hrs 5 mins,3.9,United Artists,1974
Manchester by the Sea,7.8,R,2 hrs 18 mins,9.6,OddLot Entertainment,2016
Manhunter,7.7,R,2 hrs,9.3,DEG,1986
Marriage Story,8.5,R,2 hrs 17 mins,9.4,Heyday Films,2019
The Martian,,PG-13,2 hrs 31 mins,7.7,20th Century Fox,2015
Martyrs,6.9,R,1 hr 39 mins,6.4,Wild Bunch,2008
The Mask of Zorro,7.3,PG-13,2 hrs 18 mins,8.3,Amblin Entertainment,1998
The Matrix,,R,2 hrs 16 mins,8.2,Village Roadshow Pictures,1999
The Matrix Reloaded,,R,2 hrs 18 mins,7,Village Roadshow Pictures,2003
The Matrix Resurrections,,R,2 hrs 28 mins,6.7,Village Roadshow Pictures,2021
The Matrix Revolutions,,R,2 hrs 9 mins,6.7,Village Roadshow Pictures,2003
Max Payne,2.9,PG-13,1 hr 43 mins,1.5,20th Century Fox,2008
The Maze Runner,,PG-13,1 hr 53 mins,7.2,20th Century Fox,2014
Maze Runner: The Death Cure,,PG-13,2 hrs 24 mins,7.1,20th Century Fox,2018
Maze Runner: The Scorch Trials,,PG-13,2 hrs 12 mins,6.7,20th Century Fox,2015
"Me, Myself & Irene",5.7,R,1 hr 57 mins,4.8,20th Century Fox,2000
Mean Creek,8.2,R,1 hr 30 mins,8.9,Whitewater Films,2004
Mean Girls,6.6,PG-13,1 hr 37 mins,8.4,Paramount,2004
Mean Streets,8.4,R,1 hr 52 mins,9.5,Scorsese Productions,1973
The Mechanic,5.1,R,1 hr 33 mins,5.3,Scared Productions,2011
Mechanic: Resurrection,4,R,1 hr 39 mins,3,Davis Films,2016
Meet the Fockers,5.8,PG-13,1 hr 55 mins,3.8,DreamWorks Pictures,2004
Meet the Parents,7.9,PG-13,1 hr 48 mins,8.4,DreamWorks Pictures,2000
Megan Is Missing,3.4,Not Rated,1 hr 26 mins,6,Trio Pictures,2011
Men in Black,,PG-13,1 hr 38 mins,7.2,Columbia Pictures,1997
Men in Black 3,,PG-13,1 hr 46 mins,6.5,Columbia Pictures,2012
Men in Black II,,PG-13,1 hr 28 mins,6.3,Columbia Pictures,2002
Men in Black: International,,PG-13,1 hr 55 mins,6,Columbia Pictures,2019
Million Dollar Baby,9,PG-13,2 hrs 13 mins,9,Lakeshore Entertainment,2004
A Million Ways to Die in the West,4.1,R,2 hrs 15 mins,3.3,MRC,2014
Miracle,9,PG,2 hrs 16 mins,8.1,Walt Disney Pictures,2004
Miracle in Cell No. 7,8.9,,2 hrs 8 mins,,Next Entertainment World,2013
Mission: Impossible,,PG-13,1 hr 50 mins,6.9,Paramount,1996
Mission: Impossible - Fallout,,PG-13,2 hrs 27 mins,7.4,Paramount,2018
Mission: Impossible - Ghost Protocol,,PG-13,2 hrs 13 mins,7,Paramount,2011
Mission: Impossible - Rogue Nation,,PG-13,2 hrs 12 mins,7.2,Paramount,2015
Mission: Impossible II,,,2 hrs 4 mins,6.1,Paramount,2000
Mission: Impossible III,,,2 hrs 5 mins,6.7,Paramount,2006
Moneyball,8.6,PG-13,2 hrs 13 mins,9.4,Columbia Pictures,2011
A Monster Calls,8.1,PG-13,1 hr 48 mins,8.6,Telecinco Cinema,2016
Monty Python and the Holy Grail,9.5,PG,1 hr 32 mins,9.7,Python (Monty) Pictures Limited,1975
Moonlight,7.9,R,1 hr 51 mins,9.8,Plan B Entertainment,2016
Moonraker,4.3,PG,2 hrs 6 mins,5.9,United Artists,1979
Moonrise Kingdom,8.6,PG-13,1 hr 34 mins,9.3,Scott Rudin Productions,2012
Morbius,7.1,PG-13,1 hr 44 mins,1.6,Columbia Pictures,2022
Mortal Kombat,5.7,PG-13,1 hr 41 mins,4.5,New Line Cinema,1995
Mortal Kombat,,R,1 hr 50 mins,7.2,New Line Cinema,2021
Mortal Kombat: Annihilation,2.5,PG-13,1 hr 35 mins,0.4,New Line Cinema,1997
Moulin Rouge!,8.9,PG-13,2 hrs 8 mins,7.6,20th Century Fox,2001
Mulan,4.7,PG-13,1 hr 55 mins,7.3,Walt Disney Pictures,2020
Mulholland Drive,8.7,R,2 hrs 27 mins,8.4,Universal Pictures,2001
The Mummy,7.5,PG-13,2 hrs 5 mins,6.1,Universal Pictures,1999
The Mummy,3.5,PG-13,1 hr 50 mins,1.6,Universal Pictures,2017
The Mummy Returns,6.3,PG-13,2 hrs 10 mins,4.7,Universal Pictures,2001
The Mummy: Tomb of the Dragon Emperor,3,PG-13,1 hr 52 mins,1.3,Universal Pictures,2008
Murder on the Orient Express,,PG-13,1 hr 54 mins,6.7,The Mark Gordon Company,2017
My Big Fat Greek Wedding,7.3,PG,1 hr 35 mins,7.6,HBO,2002
The Naked Gun 2½: The Smell of Fear,6.5,PG-13,1 hr 25 mins,5.7,Paramount,1991
Naked Gun 33 1/3: The Final Insult,5.3,PG-13,1 hr 23 mins,5.4,Paramount,1994
The Naked Gun: From the Files of Police Squad!,8.4,PG-13,1 hr 25 mins,8.6,Paramount,1988
Napoleon Dynamite,7.4,PG,1 hr 35 mins,7.2,MTV Films,2004
National Treasure,7.6,PG,2 hrs 11 mins,4.6,Walt Disney Pictures,2004
National Treasure: Book of Secrets,6.7,PG,2 hrs 5 mins,3.6,Walt Disney Pictures,2007
The New Mutants,5.6,PG-13,1 hr 34 mins,3.5,Sunswept Entertainment,2020
Next Friday,7.6,R,1 hr 38 mins,2.1,New Line Cinema,2000
The Nice Guys,7.9,R,1 hr 56 mins,9.1,Silver Pictures,2016
Night of the Living Dead,8.7,Not Rated,1 hr 37 mins,9.6,Image Ten,1968
Nightcrawler,8.6,R,1 hr 58 mins,9.5,Bold Films,2014
A Nightmare on Elm Street,8.4,R,1 hr 31 mins,9.5,New Line Cinema,1984
A Nightmare on Elm Street,4.3,R,1 hr 36 mins,1.5,New Line Cinema,2010
A Nightmare on Elm Street 2: Freddy's Revenge,3.3,R,1 hr 26 mins,4.1,New Line Cinema,1985
A Nightmare on Elm Street 3: Dream Warriors,6.8,R,1 hr 37 mins,7.1,New Line Cinema,1987
A Nightmare on Elm Street 4: The Dream Master,4.3,R,1 hr 33 mins,5.2,New Line Cinema,1988
A Nightmare on Elm Street 5: The Dream Child,3.1,R,1 hr 30 mins,2.9,New Line Cinema,1989
No Country for Old Men,8.6,R,2 hrs 2 mins,9.3,Miramax,2007
No Time to Die,8.8,PG-13,2 hrs 44 mins,8.3,Metro-Goldwyn-Mayer,2021
Noah,4.1,PG-13,2 hrs 18 mins,7.6,Disruption Entertainment,2014
The Northman,6.4,R,2 hrs 17 mins,8.9,New Regency Pictures,2022
The Notebook,8.5,PG-13,2 hrs 4 mins,5.3,New Line Cinema,2004
Now You See Me,7,PG-13,2 hrs 5 mins,5.1,Summit Entertainment,2013
Now You See Me 2,5.3,PG-13,2 hrs 9 mins,3.3,Summit Entertainment,2016
The Nun,,R,1 hr 37 mins,5.8,New Line Cinema,2018
Ocean's Eight,4.6,PG-13,1 hr 50 mins,6.8,Village Roadshow Pictures,2018
Ocean's Eleven,8,PG-13,1 hr 57 mins,8.3,Village Roadshow Pictures,2001
Ocean's Thirteen,7.5,PG-13,2 hrs 2 mins,7,Village Roadshow Pictures,2007
Ocean's Twelve,6,PG-13,2 hrs 5 mins,5.5,Village Roadshow Pictures,2004
Octopussy,4.7,PG,2 hrs 11 mins,4.3,Eon Productions,1983
The Odd Life of Timothy Green,6.7,PG,1 hr 45 mins,3.6,Walt Disney Pictures,2012
Olympus Has Fallen,6.6,R,1 hr 59 mins,5,Millennium Films,2013
On Her Majesty's Secret Service,6.4,PG,2 hrs 22 mins,8,United Artists,1969
Once Upon a Time... In Hollywood,7,R,2 hrs 41 mins,8.5,Columbia Pictures,2019
One Flew Over the Cuckoo's Nest,9.6,R,2 hrs 14 mins,9.3,Fantasy Films,1975
The Other Guys,6,PG-13,1 hr 56 mins,7.8,Columbia Pictures,2010
Pacific Rim,7.7,PG-13,2 hrs 11 mins,7.2,Legendary Pictures,2013
Pacific Rim: Uprising,3.8,PG-13,1 hr 51 mins,4.2,Legendary Pictures,2018
Pan's Labyrinth,9.1,R,1 hr 59 mins,9.5,Estudios Picasso,2006
Parasite,,,2 hrs 12 mins,8.5,Barunson E&A,2019
The Passion of the Christ,8,R,2 hrs 7 mins,4.9,Icon Productions,2004
Patriot Games,7.2,R,1 hr 57 mins,7.4,Paramount,1992
Patriots Day,8.6,R,2 hrs 13 mins,8,CBS Films,2017
Paul Blart: Mall Cop,4.3,PG,1 hr 31 mins,3.4,Columbia Pictures,2009
Paul Blart: Mall Cop 2,3.3,PG,1 hr 34 mins,0.6,Columbia Pictures,2015
The Perks of Being a Wallflower,8.9,PG-13,1 hr 43 mins,8.5,Mr. Mudd Production,2012
Pet Sematary,5.9,R,1 hr 43 mins,5.3,Paramount,1989
Pet Sematary,3.2,R,1 hr 41 mins,5.7,Di Bonaventura Pictures,2019
Pet Sematary II,3,R,1 hr 40 mins,2.2,Paramount,1992
The Pianist,9.6,R,2 hrs 29 mins,9.5,Canal+ Polska,2002
Pineapple Express,,R,1 hr 57 mins,6.6,Columbia Pictures,2008
