title,audienceRating,contentRating,durationHuman,rating,studio,year
Back to the Future Part II,,PG,1 hr 48 mins,7.7,Universal Pictures,1989
Back to the Future Part III,,PG,1 hr 58 mins,7.4,Universal Pictures,1990
Bad Boys,7.8,R,1 hr 59 mins,4.2,Columbia Pictures,1995
Bad Boys for Life,9.6,R,2 hrs 4 mins,7.6,Columbia Pictures,2020
Bad Boys II,7.8,R,2 hrs 27 mins,2.3,Columbia Pictures,2003
Bad Moms,6.3,R,1 hr 41 mins,5.8,STX Entertainment,2016
A Bad Moms Christmas,4.4,R,1 hr 45 mins,3.2,Universal Pictures,2017
Barb Wire,1.4,R,1 hr 40 mins,2.8,Propaganda Films,1996
Barbershop,6.2,PG-13,1 hr 42 mins,8.3,Metro-Goldwyn-Mayer,2002
Barbershop 2: Back in Business,4.8,PG-13,1 hr 46 mins,6.9,Metro-Goldwyn-Mayer,2004
Barbershop: The Next Cut,6.6,PG-13,1 hr 52 mins,9,New Line Cinema,2016
Batman,8.4,PG-13,2 hrs 6 mins,7.2,Warner Bros. Pictures,1989
The Batman,8.7,PG-13,2 hrs 56 mins,8.5,Warner Bros. Pictures,2022
Batman & Robin,1.6,PG-13,2 hrs 5 mins,1.2,Warner Bros. Pictures,1997
Batman Begins,,PG-13,2 hrs 20 mins,7.7,Warner Bros. Pictures,2005
Batman Forever,3.2,PG-13,2 hrs 2 mins,3.9,Warner Bros. Pictures,1995
Batman Returns,7.3,PG-13,2 hrs 6 mins,8,Warner Bros. Pictures,1992
Batman v Superman: Dawn of Justice,,PG-13,3 hrs 3 mins,5.9,Warner Bros. Pictures,2016
Batman: The Dark Knight,,PG-13,2 hrs 32 mins,8.5,Warner Bros. Pictures,2008
Batman: The Dark Knight Rises,,PG-13,2 hrs 45 mins,7.8,Warner Bros. Pictures,2012
Battle Los Angeles,4.8,PG-13,1 hr 56 mins,3.7,Columbia Pictures,2011
Battle Royale [Dual Audio],8.9,Not Rated,2 hrs 2 mins,8.8,Kobi Co.,2000
Baywatch,6.3,R,2 hrs 1 min,1.7,Uncharted,2017
A Beautiful Mind,9.3,PG-13,2 hrs 16 mins,7.4,DreamWorks Pictures,2001
Beauty and the Beast,8,PG,2 hrs 9 mins,7.1,Walt Disney Pictures,2017
Beverly Hills Cop,8.2,R,1 hr 45 mins,8.3,Paramount,1984
Beverly Hills Cop II,5.7,R,1 hr 43 mins,4.7,Eddie Murphy Productions,1987
Beverly Hills Cop III,3.5,R,1 hr 44 mins,0.9,Paramount,1994
The Big Blue,9.3,PG-13,2 hrs 48 mins,6.2,Gaumont,1988
The Big Sick,8.8,R,1 hr 60 mins,9.8,Amazon Studios,2017
Bill & Ted Face the Music,6.5,PG-13,1 hr 32 mins,8.2,FGM Entertainment,2020
Bill & Ted's Bogus Journey,5.6,PG,1 hr 34 mins,5.6,Orion Pictures,1991
Bill & Ted's Excellent Adventure,7.5,PG,1 hr 30 mins,8.1,Orion Pictures,1989
Bird Box,,R,2 hrs 4 mins,6.9,Bluegrass Films,2018
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),,R,1 hr 49 mins,7,Warner Bros. Pictures,2020
Black Christmas,7.5,R,1 hr 38 mins,7.1,August Films,1974
Black Hawk Down,8.8,R,2 hrs 32 mins,7.7,Jerry Bruckheimer Films,2002
Black Panther,,PG-13,2 hrs 15 mins,7.4,Marvel Studios,2018
Black Widow,,PG-13,2 hrs 14 mins,7.5,Marvel Studios,2021
Blade,7.8,R,2 hrs,5.7,New Line Cinema,1998
Blade II,6.8,R,1 hr 57 mins,5.8,New Line Cinema,2002
Blade Runner,9.1,R,1 hr 58 mins,8.9,Shaw Brothers,1982
Blade Runner 2049,8.1,R,2 hrs 44 mins,8.8,Torridon Films,2017
Blade: Trinity,5.8,R,2 hrs 2 mins,2.5,New Line Cinema,2004
Blair Witch,,R,1 hr 29 mins,5.2,Vertigo Entertainment,2016
The Blair Witch Project,,R,1 hr 21 mins,6.3,Artisan Entertainment,1999
Blazing Saddles,9.1,R,1 hr 33 mins,8.9,Warner Bros. Pictures,1974
Blockers,5.1,R,1 hr 42 mins,8.4,Hurwitz & Schlossberg Productions,2018
Bloodshot,7.8,PG-13,1 hr 49 mins,3,Columbia Pictures,2020
The Bob's Burgers Movie,8.9,PG-13,1 hr 42 mins,8.7,Bento Box Entertainment,2022
Bohemian Rhapsody,8.5,PG-13,2 hrs 15 mins,6,20th Century Fox,2018
Bone Tomahawk,7.4,Not Rated,2 hrs 12 mins,9.1,Caliber Media Company,2015
The Book of Eli,6.4,R,1 hr 58 mins,4.7,Alcon Entertainment,2010
Book of Shadows: Blair Witch 2,,R,1 hr 30 mins,4.2,Artisan Entertainment,2000
Borat Subsequent Moviefilm,,R,1 hr 36 mins,6.5,Amazon Studios,2020
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,,,1 hr 24 mins,6.7,20th Century Fox,2006
Boulevard,3,R,1 hr 28 mins,5.2,Evil Media Empire,2015
The Bourne Identity,,PG-13,1 hr 59 mins,7.4,Universal Pictures,2002
The Bourne Legacy,,PG-13,2 hrs 15 mins,6.2,Universal Pictures,2012
