title,audienceRating,contentRating,duration,durationHuman,rating,studio,year
Fantasia 2000,7.5,G,4472767,1 hr 15 mins,8.1,Walt Disney Pictures,1999
Fantastic Mr. Fox,8.5,PG,5220348,1 hr 27 mins,9.3,Regency Enterprises,2009
Finding Dory,8.4,PG,5823740,1 hr 37 mins,9.4,Pixar,2016
Finding Nemo,8.6,G,6053972,1 hr 41 mins,9.9,Pixar,2003
The Fox and the Hound,7.8,G,4981054,1 hr 23 mins,7,Walt Disney Productions,1981
Freaky Friday,5.7,PG,5815559,1 hr 37 mins,8.8,Walt Disney Pictures,2003
Fred 2: Night of the Living Fred,3.6,G,4971305,1 hr 23 mins,,"Collective, The",2011
Fred 3: Camp Fred,4.4,PG,4827912,1 hr 20 mins,,Varsity Pictures,2012
Fred Claus,4.5,PG,6933865,1 hr 56 mins,2.1,Warner Bros. Pictures,2007
Fred: The Movie,3.8,PG,4967088,1 hr 23 mins,,Derf Films,2010
Free Willy,5,PG,6704287,1 hr 52 mins,7.1,Canal+,1993
Frosty the Snowman,7.2,G,1521619,25 mins,7.3,Rankin/Bass Productions,1969
Frozen,8.5,PG,6133075,1 hr 42 mins,9,Walt Disney Pictures,2013
Frozen II,9.2,PG,6194046,1 hr 43 mins,7.7,Walt Disney Pictures,2019
The Game Plan,6.9,PG,6615026,1 hr 50 mins,2.9,Walt Disney Pictures,2007
Good Burger,6.3,PG,5718295,1 hr 35 mins,3.3,Paramount,1997
The Good Dinosaur,6.4,PG,5618642,1 hr 34 mins,7.6,Pixar,2015
A Goofy Movie,7,G,4660704,1 hr 18 mins,6.1,Walt Disney Pictures,1995
Goosebumps,6.2,PG,6196201,1 hr 43 mins,7.8,Columbia Pictures,2015
Goosebumps 2: Slappy's Revenge,3.6,PG,5388393,1 hr 30 mins,4.7,Columbia Pictures,2018
The Great Mouse Detective,7.8,G,4456489,1 hr 14 mins,7.9,Walt Disney Pictures,1986
Happy Feet,7,PG,6512256,1 hr 49 mins,7.6,Kennedy Miller Productions,2006
Happy Feet Two,6,PG,5971007,1 hr 40 mins,4.5,Warner Bros. Entertainment,2011
The Haunted Mansion,3,PG,5276842,1 hr 28 mins,1.4,Walt Disney Pictures,2003
Hercules,7.6,G,5592296,1 hr 33 mins,8.4,Walt Disney Pictures,1997
Hocus Pocus,7.1,PG,5776808,1 hr 36 mins,3.9,Walt Disney Pictures,1993
Holes,7.6,PG,7049086,1 hr 57 mins,7.8,Walt Disney Pictures,2003
Home,6.4,PG,5628179,1 hr 34 mins,5.2,DreamWorks Animation,2015
Home Alone,8,PG,6173692,1 hr 43 mins,6.7,20th Century Fox,1990
Home Alone 2: Lost in New York,6.2,PG,7201427,2 hrs,3.5,20th Century Fox,1992
Home Alone 3,2.7,PG,6143680,1 hr 42 mins,2.9,20th Century Fox,1997
Hook,7.6,PG,8505513,2 hrs 22 mins,2.9,Amblin Entertainment,1991
Hotel Transylvania,7.2,PG,5491538,1 hr 32 mins,4.4,Columbia Pictures,2012
Hotel Transylvania 2,6.3,PG,5358418,1 hr 29 mins,5.5,Columbia Pictures,2015
Hotel Transylvania 3: Summer Vacation,4.8,PG,5843410,1 hr 37 mins,6.2,Columbia Pictures,2018
Hotel Transylvania 4: Transformania,4.4,PG,5251936,1 hr 28 mins,4.9,Columbia Pictures,2022
How the Grinch Stole Christmas,5.6,PG,6303143,1 hr 45 mins,4.9,Imagine Entertainment,2000
How the Grinch Stole Christmas!,9.5,Not Rated,1545085,26 mins,10,MGM Television,1966
How to Train Your Dragon,9.1,PG,5871101,1 hr 38 mins,9.9,DreamWorks Animation,2010
How to Train Your Dragon 2,8.9,PG,6115134,1 hr 42 mins,9.2,DreamWorks Animation,2014
How to Train Your Dragon: The Hidden World,8.6,PG,6246141,1 hr 44 mins,9,DreamWorks Animation,2019
Hugo,7.8,PG,7581054,2 hrs 6 mins,9.3,Paramount,2011
The Hunchback of Notre Dame,7,G,5458684,1 hr 31 mins,7.2,Walt Disney Pictures,1996
Ice Age,8.2,PG,4869908,1 hr 21 mins,7.7,20th Century Fox,2002
The Ice Age Adventures of Buck Wild,3.9,PG,4865536,1 hr 21 mins,1.7,Walt Disney Pictures,2022
Ice Age: Collision Course,3.9,PG,5672744,1 hr 35 mins,1.8,20th Century Fox,2016
Ice Age: Continental Drift,6.2,PG,5264717,1 hr 28 mins,3.7,20th Century Fox,2012
Ice Age: Dawn of the Dinosaurs,6.2,PG,5643305,1 hr 34 mins,4.6,20th Century Fox,2009
Ice Age: The Meltdown,7.1,PG,5435987,1 hr 31 mins,5.7,20th Century Fox,2006
The Incredibles,7.5,PG,6925906,1 hr 55 mins,9.7,Walt Disney Pictures,2004
Incredibles 2,8.4,PG,7070247,1 hr 58 mins,9.3,Walt Disney Pictures,2018
Inside Out,8.9,PG,5677906,1 hr 35 mins,9.8,Walt Disney Pictures,2015
Inspector Gadget,1.8,PG,4700488,1 hr 18 mins,2,Walt Disney Pictures,1999
Inspector Gadget 2,2.2,G,5320983,1 hr 29 mins,4,Walt Disney Pictures,2003
The Iron Giant,9,PG,5398590,1 hr 30 mins,9.6,Warner Bros. Pictures,1999
It's a Mad Mad Mad Mad World,8.3,G,9807456,2 hrs 43 mins,7.1,United Artists,1963
Jack Frost,4,PG,6088124,1 hr 41 mins,1.9,Warner Bros. Pictures,1998
James and the Giant Peach,6.5,PG,4765075,1 hr 19 mins,9.1,Walt Disney Pictures,1996
Jingle All the Way,3.8,PG,5372883,1 hr 30 mins,1.9,1492 Pictures,1996
The Jungle Book,8.2,G,4707240,1 hr 18 mins,8.8,Walt Disney Productions,1967
The Karate Kid,8.2,PG,7614717,2 hrs 7 mins,8.9,Columbia Pictures,1984
The Karate Kid,6.7,PG,8401406,2 hrs 20 mins,6.6,Columbia Pictures,2010
The Karate Kid Part II,5.1,PG,6793811,1 hr 53 mins,4.4,Columbia Pictures,1986
The Karate Kid Part III,3.5,PG,6742760,1 hr 52 mins,1.5,Columbia Pictures,1989
Kazaam,2,PG,5614784,1 hr 34 mins,0.5,Universal Pictures,1996
A Kid in King Arthur's Court,2.7,PG,5405150,1 hr 30 mins,0.5,Walt Disney Pictures,1995
Kung Fu Panda,8.3,PG,5529554,1 hr 32 mins,8.7,DreamWorks Animation,2008
Kung Fu Panda 2,7.4,PG,5424040,1 hr 30 mins,8,DreamWorks Animation,2011
Kung Fu Panda 3,7.8,PG,5694718,1 hr 35 mins,8.6,DreamWorks Animation,2016
Lady and the Tramp,8,G,4583663,1 hr 16 mins,9.3,Walt Disney Productions,1955
The Lego Batman Movie,8,PG,6270161,1 hr 45 mins,9,Warner Bros. Pictures,2017
The Lego Movie,8.7,PG,6035410,1 hr 41 mins,9.6,Village Roadshow Pictures,2014
The Lego Movie 2: The Second Part,6.8,PG,6429522,1 hr 47 mins,8.4,Vertigo Entertainment,2019
The Lego Ninjago Movie,4.6,PG,6086633,1 hr 41 mins,5.5,Warner Bros. Pictures,2017
Lightyear,8.4,PG,6304768,1 hr 45 mins,7.5,Walt Disney Pictures,2022
Like Mike,5.2,PG,6008074,1 hr 40 mins,5.7,20th Century Fox,2002
